49	9316464.52	9298541.64	0.19	0.92
50	8756376.16	8735053.57	0.24	1.23
51	1875426.41	1871292.39	0.22	6.39
52	1620381.89	1614146.02	0.39	2.62
53	2009929.82	2001764.65	0.41	1.86
54	1771910.66	1766369.37	0.31	0.40
55	2082729.28	2068048.42	0.71	0.50
56	1702257.89	1694695.52	0.45	0.44
57	2376099.37	2368265.40	0.33	0.68
58	1744703.93	1734959.12	0.56	0.44
59	1679337.57	1673942.90	0.32	0.42
60	2153701.31	2148757.07	0.23	0.33
61	4363806.38	4356197.25	0.17	0.46
62	3313435.41	3305843.83	0.23	8.32
63	3235589.15	3223513.21	0.37	6.65
64	3290068.65	3284320.64	0.18	10.19
65	3336848.75	3329264.44	0.23	11.91
66	4386337.42	4378109.00	0.19	2.00
67	3377506.08	3366567.02	0.32	16.20
68	4242474.37	4233889.05	0.20	4.82
69	3193846.21	3179574.70	0.45	1.47
70	3799245.47	3789303.37	0.26	1.35
71	6263657.71	6256240.59	0.12	2.89
72	5122638.77	5116979.88	0.11	11.92
73	5638516.14	5626903.61	0.21	3.72
74	5006201.69	4987614.36	0.37	4.20
75	5985442.84	5956598.38	0.48	0.80
76	5135469.55	5119577.47	0.31	0.84
77	7060222.30	7046349.24	0.20	0.57
78	5642796.86	5638057.14	0.08	11.79
79	5424603.66	5411252.47	0.25	1.08
80	4923597.53	4920408.70	0.06	1.31
81	6356863.05	6341435.39	0.24	5.40
82	6456711.77	6426113.54	0.48	3.38
83	8375261.87	8354063.22	0.25	1.04
84	7582188.53	7549922.59	0.43	1.07
85	7940023.78	7923251.79	0.21	1.46
86	9270526.34	9261083.03	0.10	1.21
87	7106064.14	7081479.89	0.35	1.04
88	7688637.45	7677523.25	0.14	1.02
89	8066236.94	8036147.14	0.37	1.53
90	6652881.71	6639211.61	0.21	1.82
91	9492077.01	9477524.07	0.15	1.22
92	9306806.39	9297119.11	0.10	1.60
93	7990451.07	7967421.46	0.29	2.92
94	8069352.85	8047476.07	0.27	6.87
95	8821866.67	8782497.03	0.45	2.76
96	10245144.00	10226122.88	0.19	1.18
97	9108715.85	9088102.09	0.23	2.48
98	10198184.88	10186413.72	0.12	1.92
99	9331325.63	9315836.15	0.17	1.45
100	10673210.78	10652013.35	0.20	2.42
101	1830442.20	1817162.24	0.73	2.49
102	2121077.66	2111433.54	0.46	0.47
103	2021188.59	2012709.75	0.42	0.84
104	2715063.66	2699723.40	0.57	0.61
105	1593180.93	1584100.14	0.57	1.45
106	2071528.12	2060995.83	0.51	1.13
107	1880320.31	1869034.91	0.60	29.67
108	2006030.24	1990527.88	0.78	0.63
109	1765061.85	1756563.48	0.48	1.27
110	1716362.73	1704731.78	0.68	1.98
111	4653736.01	4632378.84	0.46	0.58
112	3248557.40	3232874.76	0.49	41.96
113	3408836.95	3382933.08	0.77	0.87
114	3903545.10	3891671.61	0.31	2.71
115	3213559.92	3194929.15	0.58	3.99
116	3856715.86	3847639.55	0.24	1.80
117	3884246.59	3863105.67	0.55	1.15
118	4460102.95	4443452.14	0.37	2.80
119	4243818.65	4226375.24	0.41	0.82
120	3362048.61	3350591.09	0.34	2.12
121	7442781.43	7409459.31	0.45	1.22
122	5069795.47	5049594.27	0.40	1.03
123	6259759.41	6248516.28	0.18	1.52
124	5732355.22	5690624.98	0.73	3.66
125	5486958.74	5480003.62	0.13	2.22
126	5753556.57	5739725.61	0.24	1.18
127	6827316.33	6812847.12	0.21	1.29
128	4752740.73	4735991.49	0.35	5.48
129	6600358.81	6584967.23	0.23	1.30
130	6603390.02	6586500.34	0.26	0.87
131	10245241.70	10224486.14	0.20	16.26
132	9046877.65	9038222.09	0.10	2.55
133	7721413.16	7701681.93	0.26	3.30
134	7860179.25	7847134.75	0.17	73.73
135	7330341.77	7305541.37	0.34	1.44
136	7056003.32	7033593.13	0.32	13.47
137	7928775.32	7896832.88	0.40	1.41
138	8471110.48	8455084.58	0.19	1.51
139	7923070.37	7909050.62	0.18	1.03
140	8355731.45	8335825.63	0.24	2.14
141	8190783.64	8151725.71	0.48	7.81
142	9991403.42	9971278.43	0.20	17.04
143	8013375.36	7988129.48	0.32	2.31
144	11433176.03	11402823.08	0.27	1.06
145	9649927.07	9252436.49	4.30	300.32
146	9892419.74	9866840.17	0.26	3.41
147	11537804.88	11513330.88	0.21	1.69
148	10667954.16	10632612.22	0.33	1.51
149	12300258.62	12281288.50	0.15	1.32
150	8684260.98	8667343.26	0.20	2.94
