39	6336149.04	433032.32	249902.24	0.00	7019083.60
40	6223104.09	225631.84	72866.08	0.00	6521602.01
41	7731834.58	685007.68	780591.84	0.00	9197434.10
42	7895216.73	560706.72	259859.04	0.00	8715782.49
43	8030674.43	407058.40	73053.12	0.00	8510785.95
44	8091894.56	652190.56	259758.24	0.00	9003843.36
45	7945640.14	615605.76	222524.96	0.00	8783770.86
46	7981061.92	410290.72	153308.96	0.00	8544661.60
47	7768321.70	436421.44	442096.48	0.00	8646839.62
48	7839795.34	291648.00	97956.32	0.00	8229399.66
49	7822893.00	718672.64	774898.88	0.00	9316464.52
50	7863321.76	473440.80	419613.60	0.00	8756376.16
51	1607346.57	122776.64	145303.20	0.00	1875426.41
52	1599250.85	11860.80	9270.24	0.00	1620381.89
53	1634878.78	168884.80	206166.24	0.00	2009929.82
54	1627600.90	73542.56	70767.20	0.00	1771910.66
55	1622494.40	232088.64	228146.24	0.00	2082729.28
56	1624287.97	36478.40	41491.52	0.00	1702257.89
57	1651003.53	352480.80	372615.04	-0.00	2376099.37
58	1613680.73	72209.76	58813.44	0.00	1744703.93
59	1638346.69	33061.28	7929.60	0.00	1679337.57
60	1616787.87	226009.28	310904.16	0.00	2153701.31
61	3258261.10	491106.56	608095.04	6343.68	4363806.38
62	3197002.45	70288.96	46144.00	0.00	3313435.41
63	3196758.75	22337.28	16493.12	0.00	3235589.15
64	3227898.57	33584.32	28585.76	0.00	3290068.65
65	3285856.27	33443.20	17549.28	0.00	3336848.75
66	3330202.06	494913.44	561221.92	0.00	4386337.42
67	3311597.44	28743.68	37164.96	0.00	3377506.08
68	3263079.17	506096.64	473298.56	0.00	4242474.37
69	3137167.49	37378.88	19299.84	0.00	3193846.21
70	3158164.19	343921.76	297159.52	0.00	3799245.47
71	4783974.19	732585.28	747098.24	0.00	6263657.71
72	4740830.77	186987.36	194820.64	0.00	5122638.77
73	4995699.98	349418.72	293397.44	0.00	5638516.14
74	4905870.97	47040.00	53290.72	0.00	5006201.69
75	5048773.40	500734.08	435935.36	0.00	5985442.84
76	5001422.35	79274.72	54772.48	0.00	5135469.55
77	5017794.78	997165.12	1045262.40	0.00	7060222.30
78	4910247.42	356787.20	375762.24	0.00	5642796.86
79	4748628.78	323270.08	352704.80	0.00	5424603.66
80	4852488.73	37451.68	33657.12	0.00	4923597.53
81	6270755.21	50696.80	35411.04	0.00	6356863.05
82	6329870.65	56871.36	69969.76	0.00	6456711.77
83	6315626.67	923326.88	1136308.32	0.00	8375261.87
84	6218413.81	650071.52	713703.20	0.00	7582188.53
85	6711310.98	679069.44	549643.36	0.00	7940023.78
86	6738462.82	1324841.28	1207222.24	0.00	9270526.34
87	6554888.62	294385.28	256790.24	0.00	7106064.14
88	6616819.85	687345.12	384472.48	0.00	7688637.45
89	6518986.06	730477.44	816773.44	0.00	8066236.94
90	6544252.91	46721.92	61906.88	0.00	6652881.71
91	7836055.09	878169.60	777852.32	0.00	9492077.01
92	8160587.19	602945.28	543273.92	0.00	9306806.39
93	7872041.31	53403.84	65005.92	0.00	7990451.07
94	7936392.05	60407.20	72553.60	0.00	8069352.85
95	8188633.23	309429.12	323804.32	0.00	8821866.67
96	8363932.64	871480.96	1009730.40	0.00	10245144.00
97	8433155.37	389648.00	285912.48	0.00	9108715.85
98	8238914.00	882025.76	1077245.12	0.00	10198184.88
99	8028305.31	610802.08	692218.24	0.00	9331325.63
100	8300065.18	1171397.92	1201747.68	0.00	10673210.78
101	1612361.40	114649.92	103430.88	0.00	1830442.20
102	1589348.70	264538.40	257984.16	9206.40	2121077.66
103	1642422.51	208909.12	169856.96	0.00	2021188.59
104	1633719.34	557597.60	523262.88	483.84	2715063.66
105	1573801.57	11104.80	8274.56	0.00	1593180.93
106	1681569.88	200066.72	189891.52	0.00	2071528.12
107	1637729.43	138473.44	104117.44	0.00	1880320.31
108	1598210.24	234962.56	172857.44	0.00	2006030.24
109	1666667.61	52980.48	45413.76	0.00	1765061.85
110	1636830.41	44772.00	34760.32	0.00	1716362.73
111	3306846.41	629582.24	714484.96	2822.40	4653736.01
112	3074569.88	86856.00	87131.52	0.00	3248557.40
113	3294462.55	40078.08	74296.32	0.00	3408836.95
114	3276103.18	314737.92	312704.00	0.00	3903545.10
115	3175938.00	15736.00	21885.92	-0.00	3213559.92
116	3164344.18	341772.48	350599.20	-0.00	3856715.86
117	3199261.31	325223.36	359761.92	0.00	3884246.59
118	3204472.07	607118.40	648512.48	0.00	4460102.95
119	3356110.01	508111.52	379597.12	0.00	4243818.65
120	3204224.93	86446.08	71377.60	0.00	3362048.61
121	4958355.99	1227002.56	1255487.52	1935.36	7442781.43
122	4993333.07	52580.64	23881.76	0.00	5069795.47
123	4916217.49	671352.64	672189.28	0.00	6259759.41
124	4862853.30	426020.00	443481.92	0.00	5732355.22
125	5041701.62	232275.68	212981.44	0.00	5486958.74
126	4867293.85	460348.00	425914.72	0.00	5753556.57
127	4848920.33	1046301.76	932094.24	0.00	6827316.33
128	4701380.89	22860.32	28499.52	0.00	4752740.73
129	4974695.61	826773.92	798889.28	0.00	6600358.81
130	4832451.62	857600.80	901797.12	11540.48	6603390.02
131	6657141.38	1674590.40	1913509.92	0.00	10245241.70
132	6502404.53	1315145.44	1175984.32	53343.36	9046877.65
